Rank,Title,Year,Rating
1,The Dark Knight,2008,9
2,Inception,2010,8.8
3,Dangal,2016,8.8
4,Interstellar,2014,8.6
5,Kimi no na wa,2016,8.6
6,The Intouchables,2011,8.6
7,The Prestige,2006,8.5
8,The Departed,2006,8.5
9,The Dark Knight Rises,2012,8.5
10,Whiplash,2014,8.5
11,The Lives of Others,2006,8.5
12,Taare Zameen Par,2007,8.5
13,Django Unchained,2012,8.4
14,3 Idiots,2009,8.4
15,WALL·E,2008,8.4
16,Koe no katachi,2016,8.4
17,La La Land,2016,8.3
18,Bahubali: The Beginning,2015,8.3
19,Inglourious Basterds,2009,8.3
20,Jagten,2012,8.3
21,Paint It Black,2016,8.3
22,Up,2009,8.3
23,Toy Story 3,2010,8.3
24,Hacksaw Ridge,2016,8.2
25,The Wolf of Wall Street,2013,8.2
26,Room,2015,8.2
27,Warrior,2011,8.2
28,Pan's Labyrinth,2006,8.2
29,Inside Out,2015,8.2
30,Gran Torino,2008,8.2
31,Incendies,2010,8.2
32,El secreto de sus ojos,2009,8.2
33,PK,2014,8.2
34,Guardians of the Galaxy,2014,8.1
35,Lion,2016,8.1
36,Star Wars: Episode VII - The Force Awakens,2015,8.1
37,Mad Max: Fury Road,2015,8.1
38,Zootopia,2016,8.1
39,The Avengers,2012,8.1
40,Gone Girl,2014,8.1
41,Prisoners,2013,8.1
42,The Help,2011,8.1
43,12 Years a Slave,2013,8.1
44,Harry Potter and the Deathly Hallows: Part 2,2011,8.1
45,No Country for Old Men,2007,8.1
46,Shutter Island,2010,8.1
47,Ah-ga-ssi,2016,8.1
48,Twin Peaks: The Missing Pieces,2014,8.1
49,Spotlight,2015,8.1
50,Into the Wild,2007,8.1
51,The Imitation Game,2014,8.1
52,The Grand Budapest Hotel,2014,8.1
53,There Will Be Blood,2007,8.1
54,Rush,2013,8.1
55,The Bourne Ultimatum,2007,8.1
56,Mommy,2014,8.1
57,Relatos salvajes,2014,8.1
58,Hachi: A Dog's Tale,2009,8.1
59,How to Train Your Dragon,2010,8.1
60,Arrival,2016,8
61,Deadpool,2016,8
